FALSE,"?1,059,360.00",21×ù2903ºÅ,220.7,"?4,800.00","?317,808.00","?741,552.00"
FALSE,"?1,059,840.00",20×ù2902ºÅ,220.8,"?4,800.00","?317,952.00","?741,888.00"
FALSE,"?1,099,248.00",21×ù2902ºÅ,229.01,"?4,800.00","?329,774.40","?769,473.60"
FALSE,"?1,099,728.00",20×ù2903ºÅ,229.11,"?4,800.00","?329,918.40","?769,809.60"
FALSE,"?1,259,088.00",21×ù2901ºÅ,262.31,"?4,800.00","?377,726.40","?881,361.60"
FALSE,"?1,259,664.00",20×ù2901ºÅ,262.43,"?4,800.00","?377,899.20","?881,764.80"
FALSE,"?1,490,494.00",21×ù402ºÅ,131.42,"?11,341.45","?447,148.20","?1,043,345.80"
FALSE,"?1,542,223.00",21×ù403ºÅ,126.77,"?12,165.52","?462,666.90","?1,079,556.10"
FALSE,"?1,547,073.00",21×ù502ºÅ,131.42,"?11,771.98","?464,121.90","?1,082,951.10"
FALSE,"?1,560,214.00",21×ù602ºÅ,131.42,"?11,871.97","?468,064.20","?1,092,149.80"
FALSE,"?1,595,663.00",21×ù503ºÅ,126.77,"?12,587.07","?478,698.90","?1,116,964.10"
FALSE,"?1,596,899.00",21×ù2402ºÅ,131.42,"?12,151.11","?479,069.70","?1,117,829.30"
FALSE,"?1,598,326.00",21×ù2802ºÅ,131.42,"?12,161.97","?479,497.80","?1,118,828.20"
FALSE,"?1,602,319.00",21×ù2702ºÅ,131.42,"?12,192.35","?480,695.70","?1,121,623.30"
FALSE,"?1,606,218.00",21×ù2602ºÅ,131.42,"?12,222.02","?481,865.40","?1,124,352.60"
FALSE,"?1,608,340.00",21×ù603ºÅ,126.77,"?12,687.07","?482,502.00","?1,125,838.00"
FALSE,"?1,610,145.00",21×ù2502ºÅ,131.42,"?12,251.90","?483,043.50","?1,127,101.50"
FALSE,"?1,618,038.00",21×ù702ºÅ,131.42,"?12,311.96","?485,411.40","?1,132,626.60"
FALSE,"?1,618,038.00",21×ù2302ºÅ,131.42,"?12,311.96","?485,411.40","?1,132,626.60"
FALSE,"?1,619,245.00",21×ù1402ºÅ,131.42,"?12,321.15","?485,773.50","?1,133,471.50"
FALSE,"?1,620,405.00",20×ù402ºÅ,126.83,"?12,776.20","?486,121.50","?1,134,283.50"
FALSE,"?1,620,672.00",21×ù802ºÅ,131.42,"?12,332.00","?486,201.60","?1,134,470.40"
FALSE,"?1,622,003.00",21×ù2202ºÅ,131.42,"?12,342.13","?486,600.90","?1,135,402.10"
FALSE,"?1,623,334.00",21×ù902ºÅ,131.42,"?12,352.26","?487,000.20","?1,136,333.80"
FALSE,"?1,625,921.00",21×ù1002ºÅ,131.42,"?12,371.94","?487,776.30","?1,138,144.70"
FALSE,"?1,625,921.00",21×ù2102ºÅ,131.42,"?12,371.94","?487,776.30","?1,138,144.70"
FALSE,"?1,628,564.00",21×ù1102ºÅ,131.42,"?12,392.06","?488,569.20","?1,139,994.80"
FALSE,"?1,629,895.00",21×ù2002ºÅ,131.42,"?12,402.18","?488,968.50","?1,140,926.50"
FALSE,"?1,631,227.00",21×ù1202ºÅ,131.42,"?12,412.32","?489,368.10","?1,141,858.90"
FALSE,"?1,633,813.00",21×ù1302ºÅ,131.42,"?12,432.00","?490,143.90","?1,143,669.10"
FALSE,"?1,633,813.00",21×ù1902ºÅ,131.42,"?12,432.00","?490,143.90","?1,143,669.10"
FALSE,"?1,637,788.00",21×ù1802ºÅ,131.42,"?12,462.24","?491,336.40","?1,146,451.60"
FALSE,"?1,639,119.00",21×ù1502ºÅ,131.42,"?12,472.37","?491,735.70","?1,147,383.30"
FALSE,"?1,641,686.00",21×ù1602ºÅ,131.42,"?12,491.90","?492,505.80","?1,149,180.20"
FALSE,"?1,641,686.00",21×ù1702ºÅ,131.42,"?12,491.90","?492,505.80","?1,149,180.20"
FALSE,"?1,644,853.00",21×ù2403ºÅ,126.77,"?12,975.10","?493,455.90","?1,151,397.10"
FALSE,"?1,645,110.00",21×ù2803ºÅ,126.77,"?12,977.12","?493,533.00","?1,151,577.00"
FALSE,"?1,648,913.00",21×ù2703ºÅ,126.77,"?13,007.12","?494,673.90","?1,154,239.10"
FALSE,"?1,652,717.00",21×ù2603ºÅ,126.77,"?13,037.13","?495,815.10","?1,156,901.90"
FALSE,"?1,656,520.00",21×ù2503ºÅ,126.77,"?13,067.13","?496,956.00","?1,159,564.00"
FALSE,"?1,664,127.00",21×ù703ºÅ,126.77,"?13,127.14","?499,238.10","?1,164,888.90"
FALSE,"?1,664,127.00",21×ù2303ºÅ,126.77,"?13,127.14","?499,238.10","?1,164,888.90"
FALSE,"?1,666,410.00",21×ù1403ºÅ,126.77,"?13,145.14","?499,923.00","?1,166,487.00"
FALSE,"?1,666,695.00",21×ù803ºÅ,126.77,"?13,147.39","?500,008.50","?1,166,686.50"
FALSE,"?1,667,931.00",21×ù2203ºÅ,126.77,"?13,157.14","?500,379.30","?1,167,551.70"
FALSE,"?1,669,196.00",21×ù903ºÅ,126.77,"?13,167.12","?500,758.80","?1,168,437.20"
FALSE,"?1,671,735.00",21×ù1003ºÅ,126.77,"?13,187.15","?501,520.50","?1,170,214.50"
FALSE,"?1,671,735.00",21×ù2103ºÅ,126.77,"?13,187.15","?501,520.50","?1,170,214.50"
FALSE,"?1,673,922.00",20×ù502ºÅ,126.83,"?13,198.16","?502,176.60","?1,171,745.40"
FALSE,"?1,674,302.00",21×ù1103ºÅ,126.77,"?13,207.40","?502,290.60","?1,172,011.40"
FALSE,"?1,675,538.00",21×ù2003ºÅ,126.77,"?13,217.15","?502,661.40","?1,172,876.60"
FALSE,"?1,676,803.00",21×ù1203ºÅ,126.77,"?13,227.13","?503,040.90","?1,173,762.10"
FALSE,"?1,679,342.00",21×ù1303ºÅ,126.77,"?13,247.16","?503,802.60","?1,175,539.40"
